train_loss	validation_loss
2.056737184524536	0.063
2.016192674636841	0.118
2.0091559886932373	0.13
1.9927986860275269	0.12
1.9631783962249756	0.118
1.957547664642334	0.118
1.9342306852340698	0.118
1.9175549745559692	0.118
1.899409532546997	0.15
1.8895787000656128	0.365
1.8669209480285645	0.364
1.8640226125717163	0.356
1.8434467315673828	0.356
1.8199634552001953	0.351
1.810677170753479	0.348
1.8079943656921387	0.341
1.7880374193191528	0.331
1.7948576211929321	0.325
1.781591773033142	0.321
1.7682605981826782	0.315
1.7535192966461182	0.312
1.7275142669677734	0.31
1.7281299829483032	0.31
1.7379698753356934	0.309
1.7131478786468506	0.309
1.7055131196975708	0.309
1.6782993078231812	0.309
1.6877332925796509	0.309
1.6950056552886963	0.309
1.6761757135391235	0.309
1.6449897289276123	0.309
1.649648666381836	0.309
1.6704074144363403	0.309
1.644473671913147	0.309
1.6293354034423828	0.309
1.5934491157531738	0.309
1.6100038290023804	0.309
1.5871129035949707	0.309
1.5836451053619385	0.31
1.5718554258346558	0.312
1.5585253238677979	0.314
1.5607811212539673	0.316
1.5317497253417969	0.319
1.5542123317718506	0.323
1.5218539237976074	0.324
1.5079352855682373	0.329
1.4922492504119873	0.336
1.4478639364242554	0.343
1.450268268585205	0.351
1.4635679721832275	0.367
1.4256725311279297	0.375
1.407665491104126	0.388
1.3722877502441406	0.395
1.3682376146316528	0.403
1.3577256202697754	0.414
1.3423175811767578	0.424
1.320122241973877	0.436
1.3276264667510986	0.441
1.2781696319580078	0.445
1.2888140678405762	0.458
1.254544734954834	0.473
1.2532378435134888	0.481
1.237985372543335	0.492
1.2076847553253174	0.504
1.1700578927993774	0.509
1.1404894590377808	0.522
1.1626979112625122	0.532
1.1407561302185059	0.537
1.1233971118927002	0.542
1.0829417705535889	0.543
1.100653052330017	0.546
1.1100773811340332	0.545
1.0766047239303589	0.541
1.068887710571289	0.538
1.0298545360565186	0.536
1.0246566534042358	0.535
1.0166243314743042	0.538
1.0359264612197876	0.548
0.957123875617981	0.557
0.9672262072563171	0.574
0.9244194030761719	0.586
0.9537296891212463	0.593
0.9717677235603333	0.595
0.9540847539901733	0.599
0.8982613682746887	0.601
0.9080865383148193	0.606
0.914720356464386	0.608
0.8590980768203735	0.616
0.8822095394134521	0.622
0.8519333600997925	0.625
0.8736809492111206	0.627
0.8214271068572998	0.631
0.8523274660110474	0.639
0.8331088423728943	0.657
0.8081997632980347	0.684
0.8059180378913879	0.702
0.7950063943862915	0.712
0.8024207949638367	0.72
0.7920182943344116	0.726
0.7744085788726807	0.732
0.7963857054710388	0.736
0.7565880417823792	0.737
0.755011796951294	0.737
0.7233490943908691	0.739
0.7284976243972778	0.739
0.7469707131385803	0.737
0.734631359577179	0.738
0.7321210503578186	0.741
0.7066252827644348	0.744
0.7441391944885254	0.751
0.6736132502555847	0.756
0.7175562977790833	0.759
0.7021011114120483	0.763
0.6849634647369385	0.769
0.6967307329177856	0.77
0.6421977281570435	0.765
0.664354145526886	0.762
0.6235030293464661	0.76
0.6734185218811035	0.761
0.6819446086883545	0.766
0.6534730792045593	0.769
0.6617072820663452	0.773
0.6642894744873047	0.772
0.615816593170166	0.779
0.6233630776405334	0.784
0.6471128463745117	0.782
0.6083531379699707	0.774
0.5975440740585327	0.768
0.5965279340744019	0.766
0.6019824743270874	0.768
0.5996067523956299	0.767
0.5926569104194641	0.766
0.5797598958015442	0.771
0.5511410236358643	0.775
0.5520829558372498	0.781
0.5528882145881653	0.787
0.5897131562232971	0.794
0.5532764792442322	0.793
0.5615224838256836	0.8
0.5502309203147888	0.8
0.5655433535575867	0.801
0.5525716543197632	0.804
0.5817074179649353	0.799
0.5235722064971924	0.8
0.6055459976196289	0.8
0.5444170832633972	0.8
0.4892730712890625	0.801
0.5342653393745422	0.802
0.5506448745727539	0.804
0.5240240097045898	0.804
0.5185311436653137	0.807
0.5288233160972595	0.806
0.5183990597724915	0.809
0.5129263401031494	0.813
0.4802272319793701	0.812
0.502426266670227	0.813
0.49633586406707764	0.809
0.4714827835559845	0.81
0.5260212421417236	0.813
0.5171893239021301	0.814
0.5212259888648987	0.816
0.5109391212463379	0.812
0.4913054406642914	0.811
0.48427826166152954	0.811
0.455458402633667	0.811
0.48020389676094055	0.814
0.48905149102211	0.811
0.4879070222377777	0.809
0.47291144728660583	0.811
0.4857761859893799	0.811
0.4863165616989136	0.814
0.48870784044265747	0.816
0.4813637435436249	0.815
0.4324263632297516	0.819
0.43003928661346436	0.816
0.4669334292411804	0.817
0.45936283469200134	0.819
0.43782147765159607	0.818
0.4969477951526642	0.823
0.444397509098053	0.823
0.43214401602745056	0.823
0.4252975583076477	0.827
0.3818484842777252	0.829
0.4278213679790497	0.825
0.4264887571334839	0.825
0.5218305587768555	0.827
0.4184846580028534	0.825
0.4152480661869049	0.828
0.41114541888237	0.827
0.4235418736934662	0.826
0.39253318309783936	0.825
0.39181944727897644	0.824
0.43984082341194153	0.824
0.43479013442993164	0.823
0.3865657448768616	0.825
0.41894984245300293	0.828
0.39090225100517273	0.831
0.42805567383766174	0.829
0.45431581139564514	0.825
0.4325059950351715	0.825
